car_name,year,selling_price,present_price,kms_driven,car_age,price_difference,fuel_type_Diesel,fuel_type_Petrol,seller_type_Individual,transmission_Manual
ritz,2014,3.35,5.59,27000,11,-2.2399999999999998,0,1,0,1
sx4,2013,4.75,9.54,43000,12,-4.789999999999999,1,0,0,1
ciaz,2017,7.25,9.85,6900,8,-2.5999999999999996,0,1,0,1
wagon r,2011,2.85,4.15,5200,14,-1.3000000000000003,0,1,0,1
swift,2014,4.6,6.87,42450,11,-2.2700000000000005,1,0,0,1
vitara brezza,2018,9.25,9.83,2071,7,-0.5800000000000001,1,0,0,1
ciaz,2015,6.75,8.12,18796,10,-1.3699999999999992,0,1,0,1
s cross,2015,6.5,8.61,33429,10,-2.1099999999999994,1,0,0,1
ciaz,2016,8.75,8.89,20273,9,-0.14000000000000057,1,0,0,1
ciaz,2015,7.45,8.92,42367,10,-1.4699999999999998,1,0,0,1
alto 800,2017,2.85,3.6,2135,8,-0.75,0,1,0,1
ciaz,2015,6.85,10.38,51000,10,-3.530000000000001,1,0,0,1
ciaz,2015,7.5,9.94,15000,10,-2.4399999999999995,0,1,0,0
ertiga,2015,6.1,7.71,26000,10,-1.6100000000000003,0,1,0,1
dzire,2009,2.25,7.21,77427,16,-4.96,0,1,0,1
ertiga,2016,7.75,10.79,43000,9,-3.039999999999999,1,0,0,1
ertiga,2015,7.25,10.79,41678,10,-3.539999999999999,1,0,0,1
ertiga,2016,7.75,10.79,43000,9,-3.039999999999999,1,0,0,1
wagon r,2015,3.25,5.09,35500,10,-1.8399999999999999,0,0,0,1
sx4,2010,2.65,7.98,41442,15,-5.33,0,1,0,1
alto k10,2016,2.85,3.95,25000,9,-1.1,0,1,0,1
ignis,2017,4.9,5.71,2400,8,-0.8099999999999996,0,1,0,1
sx4,2011,4.4,8.01,50000,14,-3.6099999999999994,0,1,0,0
alto k10,2014,2.5,3.46,45280,11,-0.96,0,1,0,1
wagon r,2013,2.9,4.41,56879,12,-1.5100000000000002,0,1,0,1
swift,2011,3.0,4.99,20000,14,-1.9900000000000002,0,1,0,1
swift,2013,4.15,5.87,55138,12,-1.7199999999999998,0,1,0,1
swift,2017,6.0,6.49,16200,8,-0.4900000000000002,0,1,1,1
alto k10,2010,1.95,3.95,44542,15,-2.0,0,1,0,1
ciaz,2015,7.45,10.38,45000,10,-2.9300000000000006,1,0,0,1
ritz,2012,3.1,5.98,51439,13,-2.8800000000000003,1,0,0,1
ritz,2011,2.35,4.89,54200,14,-2.5399999999999996,0,1,0,1
swift,2014,4.95,7.49,39000,11,-2.54,1,0,0,1
ertiga,2014,6.0,9.95,45000,11,-3.9499999999999993,1,0,0,1
dzire,2014,5.5,8.06,45000,11,-2.5600000000000005,1,0,0,1
sx4,2011,2.95,7.74,49998,14,-4.79,0,0,0,1
dzire,2015,4.65,7.2,48767,10,-2.55,0,1,0,1
800,2003,0.35,2.28,127000,22,-1.9299999999999997,0,1,1,1
alto k10,2016,3.0,3.76,10079,9,-0.7599999999999998,0,1,0,1
sx4,2003,2.25,7.98,62000,22,-5.73,0,1,0,1
baleno,2016,5.85,7.87,24524,9,-2.0200000000000005,0,1,0,0
alto k10,2014,2.55,3.98,46706,11,-1.4300000000000002,0,1,0,1
sx4,2008,1.95,7.15,58000,17,-5.2,0,1,0,1
dzire,2014,5.5,8.06,45780,11,-2.5600000000000005,1,0,0,1
omni,2012,1.25,2.69,50000,13,-1.44,0,1,0,1
ciaz,2014,7.5,12.04,15000,11,-4.539999999999999,0,1,0,0
ritz,2013,2.65,4.89,64532,12,-2.2399999999999998,0,1,0,1
wagon r,2006,1.05,4.15,65000,19,-3.1000000000000005,0,1,0,1
ertiga,2015,5.8,7.71,25870,10,-1.9100000000000001,0,1,0,1
ciaz,2017,7.75,9.29,37000,8,-1.5399999999999991,0,1,0,0
fortuner,2012,14.9,30.61,104707,13,-15.709999999999999,1,0,0,0
fortuner,2015,23.0,30.61,40000,10,-7.609999999999999,1,0,0,0
innova,2017,18.0,19.77,15000,8,-1.7699999999999996,1,0,0,0
fortuner,2013,16.0,30.61,135000,12,-14.61,1,0,1,0
innova,2005,2.75,10.21,90000,20,-7.460000000000001,0,1,1,1
corolla altis,2009,3.6,15.04,70000,16,-11.44,0,1,0,0
etios cross,2015,4.5,7.27,40534,10,-2.7699999999999996,0,1,0,1
corolla altis,2010,4.75,18.54,50000,15,-13.79,0,1,0,1
fortuner,2014,19.99,35.96,41000,11,-15.970000000000002,1,0,0,0
corolla altis,2013,6.95,18.61,40001,12,-11.66,0,1,0,1
etios cross,2015,4.5,7.7,40588,10,-3.2,0,1,0,1
fortuner,2014,18.75,35.96,78000,11,-17.21,1,0,0,0
fortuner,2015,23.5,35.96,47000,10,-12.46,1,0,0,0
fortuner,2017,33.0,36.23,6000,8,-3.229999999999997,1,0,0,0
etios liva,2014,4.75,6.95,45000,11,-2.2,1,0,0,1
innova,2017,19.75,23.15,11000,8,-3.3999999999999986,0,1,0,0
fortuner,2010,9.25,20.45,59000,15,-11.2,1,0,0,1
corolla altis,2011,4.35,13.74,88000,14,-9.39,0,1,0,1
corolla altis,2016,14.25,20.91,12000,9,-6.66,0,1,0,1
etios liva,2014,3.95,6.76,71000,11,-2.8099999999999996,1,0,0,1
corolla altis,2011,4.5,12.48,45000,14,-7.98,1,0,0,1
corolla altis,2013,7.45,18.61,56001,12,-11.16,0,1,0,1
etios liva,2011,2.65,5.71,43000,14,-3.06,0,1,0,1
etios cross,2014,4.9,8.93,83000,11,-4.029999999999999,1,0,0,1
etios g,2015,3.95,6.8,36000,10,-2.8499999999999996,0,1,0,1
corolla altis,2013,5.5,14.68,72000,12,-9.18,0,1,0,1
corolla,2004,1.5,12.35,135154,21,-10.85,0,1,0,0
corolla altis,2010,5.25,22.83,80000,15,-17.58,0,1,0,0
fortuner,2012,14.5,30.61,89000,13,-16.11,1,0,0,0
corolla altis,2016,14.73,14.89,23000,9,-0.16000000000000014,1,0,0,1
etios gd,2015,4.75,7.85,40000,10,-3.0999999999999996,1,0,0,1
innova,2017,23.0,25.39,15000,8,-2.3900000000000006,1,0,0,0
innova,2015,12.5,13.46,38000,10,-0.9600000000000009,1,0,0,1
innova,2005,3.49,13.46,197176,20,-9.97,1,0,0,1
land cruiser,2010,35.0,92.6,78000,15,-57.599999999999994,1,0,0,1
corolla altis,2012,5.9,13.74,56000,13,-7.84,0,1,0,1
etios liva,2013,3.45,6.05,47000,12,-2.5999999999999996,0,1,0,1
etios g,2014,4.75,6.76,40000,11,-2.01,0,1,0,1
corolla altis,2009,3.8,18.61,62000,16,-14.809999999999999,0,1,0,1
innova,2014,11.25,16.09,58242,11,-4.84,1,0,0,1
innova,2005,3.51,13.7,75000,20,-10.19,0,1,0,1
fortuner,2015,23.0,30.61,40000,10,-7.609999999999999,1,0,0,0
corolla altis,2008,4.0,22.78,89000,17,-18.78,0,1,0,0
corolla altis,2012,5.85,18.61,72000,13,-12.76,0,1,0,1
innova,2016,20.75,25.39,29000,9,-4.640000000000001,1,0,0,0
corolla altis,2017,17.0,18.64,8700,8,-1.6400000000000006,0,1,0,1
corolla altis,2013,7.05,18.61,45000,12,-11.559999999999999,0,1,0,1
fortuner,2010,9.65,20.45,50024,15,-10.799999999999999,1,0,0,1
royal enfield thunder 500,2016,1.75,1.9,3000,9,-0.1499999999999999,0,1,1,1
um renegade mojave,2017,1.7,1.82,1400,8,-0.1200000000000001,0,1,1,1
ktm rc200,2017,1.65,1.78,4000,8,-0.13000000000000012,0,1,1,1
bajaj dominar 400,2017,1.45,1.6,1200,8,-0.15000000000000013,0,1,1,1
royal enfield classic 350,2017,1.35,1.47,4100,8,-0.11999999999999988,0,1,1,1
ktm rc390,2015,1.35,2.37,21700,10,-1.02,0,1,1,1
royal enfield thunder 350,2013,1.25,1.5,15000,12,-0.25,0,1,1,1
