car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,car_age,price_difference
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,11,-2.2399999999999998
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,12,-4.789999999999999
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,8,-2.5999999999999996
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,14,-1.3000000000000003
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,11,-2.2700000000000005
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,7,-0.5800000000000001
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,10,-1.3699999999999992
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,10,-2.1099999999999994
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,9,-0.14000000000000057
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,10,-1.4699999999999998
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,8,-0.75
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,10,-3.530000000000001
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,10,-2.4399999999999995
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,10,-1.6100000000000003
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,16,-4.96
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,9,-3.039999999999999
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,10,-3.539999999999999
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,9,-3.039999999999999
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,10,-1.8399999999999999
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,15,-5.33
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,9,-1.1
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,8,-0.8099999999999996
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,14,-3.6099999999999994
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,11,-0.96
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,12,-1.5100000000000002
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,14,-1.9900000000000002
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,12,-1.7199999999999998
