year,present_price,kms_driven,car_age,car_name_activa 3g,car_name_activa 4g,car_name_alto 800,car_name_alto k10,car_name_amaze,car_name_bajaj  ct 100,car_name_bajaj avenger 150,car_name_bajaj avenger 150 street,car_name_bajaj avenger 220,car_name_bajaj avenger 220 dtsi,car_name_bajaj avenger street 220,car_name_bajaj discover 100,car_name_bajaj dominar 400,car_name_bajaj pulsar  ns 200,car_name_bajaj pulsar 135 ls,car_name_bajaj pulsar 150,car_name_bajaj pulsar 220 f,car_name_bajaj pulsar ns 200,car_name_bajaj pulsar rs200,car_name_baleno,car_name_brio,car_name_ciaz,car_name_city,car_name_corolla,car_name_corolla altis,car_name_creta,car_name_dzire,car_name_elantra,car_name_eon,car_name_ertiga,car_name_etios cross,car_name_etios g,car_name_etios gd,car_name_etios liva,car_name_fortuner,car_name_grand i10,car_name_hero  cbz xtreme,car_name_hero extreme,car_name_hero glamour,car_name_hero honda cbz extreme,car_name_hero honda passion pro,car_name_hero passion pro,car_name_hero passion x pro,car_name_hero splender ismart,car_name_hero splender plus,car_name_hero super splendor,car_name_honda activa 125,car_name_honda activa 4g,car_name_honda cb hornet 160r,car_name_honda cb shine,car_name_honda cb trigger,car_name_honda cb twister,car_name_honda cb unicorn,car_name_honda cbr 150,car_name_honda dream yuga ,car_name_honda karizma,car_name_i10,car_name_i20,car_name_ignis,car_name_innova,car_name_jazz,car_name_ktm 390 duke ,car_name_ktm rc200,car_name_ktm rc390,car_name_land cruiser,car_name_mahindra mojo xt300,car_name_omni,car_name_ritz,car_name_royal enfield bullet 350,car_name_royal enfield classic 350,car_name_royal enfield classic 500,car_name_royal enfield thunder 350,car_name_royal enfield thunder 500,car_name_s cross,car_name_suzuki access 125,car_name_swift,car_name_sx4,car_name_tvs apache rtr 160,car_name_tvs apache rtr 180,car_name_tvs jupyter,car_name_tvs sport ,car_name_tvs wego,car_name_um renegade mojave,car_name_verna,car_name_vitara brezza,car_name_wagon r,car_name_xcent,car_name_yamaha fazer ,car_name_yamaha fz  v 2.0,car_name_yamaha fz 16,car_name_yamaha fz s ,car_name_yamaha fz s v 2.0,fuel_type_Diesel,fuel_type_Petrol,seller_type_Individual,transmission_Manual
2015,8.12,18796,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2012,9.4,36000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2013,5.7,53000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,10.0,27600,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2014,8.93,83000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2011,4.99,20000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2015,1.47,17500,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2016,0.55,31000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2011,5.71,43000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2010,7.98,41442,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
